"1.2. Halálozások száma nemek és korcsoportok szerint, hetente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Év,A hét,,,Férfi ,,,,,,,,,,,,,,Nő ,,,,,,,,,,,,,,Összesen,,,,,,,,,,,,,
,sor-száma,kezdő napja, záró napja,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen
,,,,éves,,,,,,,,,,,,,,éves,,,,,,,,,,,,,,éves,,,,,,,,,,,,,
2015.,1.,2014/ december 29.,2015/ január 4.,19,13,15,38,71,111,186,164,162,203,194,123,64,"1,363",22,4,6,10,35,46,84,94,139,185,308,300,204,"1,437",41,17,21,48,106,157,270,258,301,388,502,423,268,"2,800"
,2.,2015/ január 5.,2015/ január 11.,25,7,33,40,60,139,176,180,182,177,186,119,73,"1,397",11,2,10,16,33,63,115,115,147,225,312,288,271,"1,608",36,9,43,56,93,202,291,295,329,402,498,407,344,"3,005"
,3.,2015/ január 12.,2015/ január 18.,21,8,17,37,74,115,151,157,192,197,166,139,84,"1,358",13,9,4,15,26,60,111,100,156,218,292,309,229,"1,542",34,17,21,52,100,175,262,257,348,415,458,448,313,"2,900"
,4.,2015/ január 19.,2015/ január 25.,24,16,14,37,58,112,183,183,184,202,202,150,84,"1,449",16,6,9,18,40,69,98,113,151,200,305,310,221,"1,556",40,22,23,55,98,181,281,296,335,402,507,460,305,"3,005"
,5.,2015/ január 26.,2015/ február 1.,19,9,20,30,51,121,166,165,197,196,184,147,88,"1,393",13,9,17,16,34,62,100,119,144,232,314,358,256,"1,674",32,18,37,46,85,183,266,284,341,428,498,505,344,"3,067"
,6.,2015/ február 2.,2015/ február 8.,22,12,16,52,69,104,163,206,214,231,205,167,87,"1,548",14,1,14,18,43,75,104,141,179,225,344,353,291,"1,802",36,13,30,70,112,179,267,347,393,456,549,520,378,"3,350"
,7.,2015/ február 9.,2015/ február 15.,13,17,21,39,57,106,162,198,198,191,227,184,78,"1,491",11,8,12,16,35,70,105,128,156,235,382,352,279,"1,789",24,25,33,55,92,176,267,326,354,426,609,536,357,"3,280"
,8.,2015/ február 16.,2015/ február 22.,26,12,25,29,53,142,176,184,199,218,207,195,92,"1,558",17,6,7,15,31,57,92,117,196,241,335,377,300,"1,791",43,18,32,44,84,199,268,301,395,459,542,572,392,"3,349"
,9.,2015/ február 23.,2015/ március 1.,16,12,19,33,66,113,183,147,212,178,221,168,88,"1,456",13,7,12,19,30,56,81,96,163,243,315,357,272,"1,664",29,19,31,52,96,169,264,243,375,421,536,525,360,"3,120"
,10.,2015/ március 2.,2015/ március 8.,27,10,18,43,69,113,140,179,170,182,196,140,87,"1,374",7,6,11,18,32,63,83,111,141,230,316,338,232,"1,588",34,16,29,61,101,176,223,290,311,412,512,478,319,"2,962"
,11.,2015/ március 9.,2015/ március 15.,21,12,17,39,69,113,158,159,172,164,186,132,65,"1,307",11,7,5,22,29,44,93,111,154,195,277,322,200,"1,470",32,19,22,61,98,157,251,270,326,359,463,454,265,"2,777"
,12.,2015/ március 16.,2015/ március 22.,13,18,23,34,73,113,153,171,192,186,168,127,68,"1,339",14,3,6,13,35,59,82,96,136,204,282,266,229,"1,425",27,21,29,47,108,172,235,267,328,390,450,393,297,"2,764"
,13.,2015/ március 23.,2015/ március 29.,22,12,15,32,61,118,155,144,186,171,192,125,63,"1,296",7,6,7,14,35,51,101,110,133,196,272,267,195,"1,394",29,18,22,46,96,169,256,254,319,367,464,392,258,"2,690"
,14.,2015/ március 30.,2015/ április 5.,19,14,21,30,50,120,155,167,156,183,161,114,64,"1,254",11,8,10,16,25,51,85,93,144,186,279,266,211,"1,385",30,22,31,46,75,171,240,260,300,369,440,380,275,"2,639"
,15.,2015/ április 6.,2015/ április 12.,19,11,14,33,53,114,178,159,164,157,191,91,77,"1,261",12,5,11,19,22,58,90,89,122,188,264,252,219,"1,351",31,16,25,52,75,172,268,248,286,345,455,343,296,"2,612"
,16.,2015/ április 13.,2015/ április 19.,18,18,16,28,46,100,155,154,167,177,176,129,67,"1,251",8,6,17,18,29,37,104,96,134,194,262,264,192,"1,361",26,24,33,46,75,137,259,250,301,371,438,393,259,"2,612"
,17.,2015/ április 20.,2015/ április 26.,22,13,15,44,44,110,141,173,156,174,158,123,65,"1,238",6,9,15,15,31,47,87,95,147,173,249,281,205,"1,360",28,22,30,59,75,157,228,268,303,347,407,404,270,"2,598"
,18.,2015/ április 27.,2015/ május 3.,17,10,23,30,51,114,114,145,169,144,165,98,72,"1,152",17,7,10,20,25,42,86,101,146,162,268,235,196,"1,315",34,17,33,50,76,156,200,246,315,306,433,333,268,"2,467"
,19.,2015/ május 4.,2015/ május 10.,29,10,28,37,52,84,139,154,140,139,169,100,83,"1,164",8,1,7,17,24,62,81,92,125,151,254,247,187,"1,256",37,11,35,54,76,146,220,246,265,290,423,347,270,"2,420"
,20.,2015/ május 11.,2015/ május 17.,26,9,19,27,67,90,144,146,149,152,154,109,48,"1,140",12,7,9,11,22,57,95,92,102,174,213,211,148,"1,153",38,16,28,38,89,147,239,238,251,326,367,320,196,"2,293"
,21.,2015/ május 18.,2015/ május 24.,21,12,18,35,43,102,167,118,146,128,136,110,66,"1,102",7,7,6,14,32,57,66,100,109,179,229,207,159,"1,172",28,19,24,49,75,159,233,218,255,307,365,317,225,"2,274"
,22.,2015/ május 25.,2015/ május 31.,25,10,22,36,49,95,162,139,140,138,129,102,53,"1,100",9,6,9,10,26,46,73,91,106,141,200,211,149,"1,077",34,16,31,46,75,141,235,230,246,279,329,313,202,"2,177"
,23.,2015/ június 1.,2015/ június 7.,33,5,17,22,59,111,137,183,172,154,149,113,63,"1,218",13,1,10,18,27,51,82,93,129,170,234,220,168,"1,216",46,6,27,40,86,162,219,276,301,324,383,333,231,"2,434"
,24.,2015/ június 8.,2015/ június 14.,23,16,10,29,45,102,172,132,143,144,123,96,71,"1,106",11,2,12,18,27,47,90,99,135,157,204,212,178,"1,192",34,18,22,47,72,149,262,231,278,301,327,308,249,"2,298"
,25.,2015/ június 15.,2015/ június 21.,21,11,19,30,41,82,139,112,119,120,158,97,55,"1,004",18,8,11,17,20,45,60,92,95,135,186,199,177,"1,063",39,19,30,47,61,127,199,204,214,255,344,296,232,"2,067"
,26.,2015/ június 22.,2015/ június 28.,30,14,14,26,51,97,132,133,162,116,122,91,50,"1,038",14,4,15,14,30,42,77,92,118,150,198,192,157,"1,103",44,18,29,40,81,139,209,225,280,266,320,283,207,"2,141"
,27.,2015/ június 29.,2015/ július 5.,22,11,12,22,61,110,138,154,163,169,163,97,65,"1,187",14,7,9,19,31,44,72,90,129,164,219,216,182,"1,196",36,18,21,41,92,154,210,244,292,333,382,313,247,"2,383"
,28.,2015/ július 6.,2015/ július 12.,29,10,14,40,59,100,170,133,177,152,154,101,59,"1,198",11,–,7,23,32,51,87,92,114,177,253,238,208,"1,293",40,10,21,63,91,151,257,225,291,329,407,339,267,"2,491"
,29.,2015/ július 13.,2015/ július 19.,34,20,18,29,64,100,168,127,148,120,148,117,65,"1,158",14,3,11,18,25,58,81,81,112,156,238,229,174,"1,200",48,23,29,47,89,158,249,208,260,276,386,346,239,"2,358"
,30.,2015/ július 20.,2015/ július 26.,45,11,12,39,63,101,161,149,184,173,164,114,80,"1,296",12,7,7,21,26,49,80,87,139,183,261,267,190,"1,329",57,18,19,60,89,150,241,236,323,356,425,381,270,"2,625"
,31.,2015/ július 27.,2015/ augusztus 2.,19,11,14,25,55,94,139,145,120,113,136,101,60,"1,032",13,8,11,12,17,35,55,79,98,135,190,186,149,988,32,19,25,37,72,129,194,224,218,248,326,287,209,"2,020"
,32.,2015/ augusztus 3.,2015/ augusztus 9.,29,10,23,29,51,92,160,137,165,149,138,109,63,"1,155",13,3,5,15,40,33,90,108,130,162,230,219,175,"1,223",42,13,28,44,91,125,250,245,295,311,368,328,238,"2,378"
,33.,2015/ augusztus 10.,2015/ augusztus 16.,19,15,26,26,68,100,153,184,173,162,158,125,77,"1,286",14,6,13,17,37,55,96,120,141,181,278,288,215,"1,461",33,21,39,43,105,155,249,304,314,343,436,413,292,"2,747"
,34.,2015/ augusztus 17.,2015/ augusztus 23.,24,9,12,37,54,94,126,115,112,132,118,92,54,979,7,3,10,10,24,34,75,76,83,139,199,208,155,"1,023",31,12,22,47,78,128,201,191,195,271,317,300,209,"2,002"
,35.,2015/ augusztus 24.,2015/ augusztus 30.,23,15,17,43,44,88,131,138,145,146,136,109,71,"1,106",9,8,9,16,25,54,81,80,101,161,213,228,191,"1,176",32,23,26,59,69,142,212,218,246,307,349,337,262,"2,282"
,36.,2015/ augusztus 31.,2015/ szeptember 6.,17,10,15,30,43,85,141,140,150,154,120,106,71,"1,082",7,8,4,17,23,52,67,75,117,169,205,231,163,"1,138",24,18,19,47,66,137,208,215,267,323,325,337,234,"2,220"
,37.,2015/ szeptember 7.,2015/ szeptember 13.,28,8,17,43,55,108,138,155,121,116,157,107,66,"1,119",6,6,9,15,27,57,73,80,111,135,201,186,167,"1,073",34,14,26,58,82,165,211,235,232,251,358,293,233,"2,192"
,38.,2015/ szeptember 14.,2015/ szeptember 20.,22,12,15,41,46,108,141,169,149,140,156,122,59,"1,180",5,5,14,12,37,51,82,83,121,177,217,238,157,"1,199",27,17,29,53,83,159,223,252,270,317,373,360,216,"2,379"
,39.,2015/ szeptember 21.,2015/ szeptember 27.,18,10,21,28,52,78,162,142,130,135,141,91,64,"1,072",15,8,6,13,27,48,66,80,131,141,204,189,147,"1,075",33,18,27,41,79,126,228,222,261,276,345,280,211,"2,147"
,40.,2015/ szeptember 28.,2015/ október 4.,15,11,20,28,44,102,121,129,141,144,142,97,80,"1,074",11,5,8,14,26,67,93,97,120,143,172,193,169,"1,118",26,16,28,42,70,169,214,226,261,287,314,290,249,"2,192"
,41.,2015/ október 5.,2015/ október 11.,21,17,15,30,49,88,136,144,163,169,138,103,70,"1,143",8,4,7,17,27,52,81,87,108,173,240,213,172,"1,189",29,21,22,47,76,140,217,231,271,342,378,316,242,"2,332"
,42.,2015/ október 12.,2015/ október 18.,23,12,27,40,57,100,144,158,160,156,143,122,81,"1,223",5,3,6,18,32,44,79,90,118,165,210,273,197,"1,240",28,15,33,58,89,144,223,248,278,321,353,395,278,"2,463"
,43.,2015/ október 19.,2015/ október 25.,26,12,17,41,58,92,148,140,172,161,143,121,59,"1,190",10,3,9,14,26,57,82,93,135,148,252,250,168,"1,247",36,15,26,55,84,149,230,233,307,309,395,371,227,"2,437"
,44.,2015/ október 26.,2015/ november 1.,19,8,16,28,61,105,150,146,146,151,135,92,55,"1,112",12,5,8,15,30,58,83,113,111,163,256,251,201,"1,306",31,13,24,43,91,163,233,259,257,314,391,343,256,"2,418"
,45.,2015/ november 2.,2015/ november 8.,26,13,21,26,53,113,165,150,156,158,160,120,53,"1,214",12,1,7,18,25,53,85,95,118,174,235,210,178,"1,211",38,14,28,44,78,166,250,245,274,332,395,330,231,"2,425"
,46.,2015/ november 9.,2015/ november 15.,29,8,24,30,46,103,166,128,144,137,146,110,58,"1,129",13,8,9,17,19,42,65,90,108,161,252,227,175,"1,186",42,16,33,47,65,145,231,218,252,298,398,337,233,"2,315"
