year,variable,value,week,nem,date,date_week
2015,ferfi_0–34,16,52,ferfi,2015-12-28,2015_52
2016,ferfi_0–34,17,52,ferfi,2016-12-26,2016_52
2017,ferfi_0–34,28,52,ferfi,2017-12-25,2017_52
2018,ferfi_0–34,23,52,ferfi,2018-12-31,2018_52
2019,ferfi_0–34,18,52,ferfi,2019-12-30,2019_52
2020,ferfi_0–34,28,52,ferfi,2020-12-28,2020_52
2015,ferfi_35–39,10,52,ferfi,2015-12-28,2015_52
2016,ferfi_35–39,12,52,ferfi,2016-12-26,2016_52
2017,ferfi_35–39,9,52,ferfi,2017-12-25,2017_52
2018,ferfi_35–39,5,52,ferfi,2018-12-31,2018_52
2019,ferfi_35–39,12,52,ferfi,2019-12-30,2019_52
2020,ferfi_35–39,5,52,ferfi,2020-12-28,2020_52
2015,ferfi_40–44,18,52,ferfi,2015-12-28,2015_52
2016,ferfi_40–44,21,52,ferfi,2016-12-26,2016_52
2017,ferfi_40–44,14,52,ferfi,2017-12-25,2017_52
2018,ferfi_40–44,21,52,ferfi,2018-12-31,2018_52
2019,ferfi_40–44,15,52,ferfi,2019-12-30,2019_52
2020,ferfi_40–44,21,52,ferfi,2020-12-28,2020_52
2015,ferfi_45–49,42,52,ferfi,2015-12-28,2015_52
2016,ferfi_45–49,38,52,ferfi,2016-12-26,2016_52
2017,ferfi_45–49,37,52,ferfi,2017-12-25,2017_52
2018,ferfi_45–49,35,52,ferfi,2018-12-31,2018_52
2019,ferfi_45–49,19,52,ferfi,2019-12-30,2019_52
2020,ferfi_45–49,35,52,ferfi,2020-12-28,2020_52
2015,ferfi_50–54,66,52,ferfi,2015-12-28,2015_52
2016,ferfi_50–54,62,52,ferfi,2016-12-26,2016_52
2017,ferfi_50–54,57,52,ferfi,2017-12-25,2017_52
2018,ferfi_50–54,53,52,ferfi,2018-12-31,2018_52
2019,ferfi_50–54,57,52,ferfi,2019-12-30,2019_52
2020,ferfi_50–54,76,52,ferfi,2020-12-28,2020_52
2015,ferfi_55–59,110,52,ferfi,2015-12-28,2015_52
2016,ferfi_55–59,79,52,ferfi,2016-12-26,2016_52
2017,ferfi_55–59,81,52,ferfi,2017-12-25,2017_52
2018,ferfi_55–59,106,52,ferfi,2018-12-31,2018_52
2019,ferfi_55–59,83,52,ferfi,2019-12-30,2019_52
2020,ferfi_55–59,110,52,ferfi,2020-12-28,2020_52
2015,ferfi_60–64,160,52,ferfi,2015-12-28,2015_52
2016,ferfi_60–64,169,52,ferfi,2016-12-26,2016_52
2017,ferfi_60–64,192,52,ferfi,2017-12-25,2017_52
2018,ferfi_60–64,168,52,ferfi,2018-12-31,2018_52
2019,ferfi_60–64,141,52,ferfi,2019-12-30,2019_52
